path,extension,bytes,category,usage_role
LancsBox/corpora/Climate_Change/HER_2011-06-11000399.txt,.txt,5527,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-11000400.txt,.txt,765,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-11000401.txt,.txt,489,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-13000397.txt,.txt,689,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-14000394.txt,.txt,1227,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-14000395.txt,.txt,523,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-14000396.txt,.txt,1931,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-09-26000186.txt,.txt,4692,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-09-26000187.txt,.txt,623,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-09-26000188.txt,.txt,623,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-15000144.txt,.txt,1814,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-15000145.txt,.txt,754,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-17000139.txt,.txt,605,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-17000140.txt,.txt,4,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-17000141.txt,.txt,425,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-17000142.txt,.txt,4066,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-25000116.txt,.txt,173,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-26000111.txt,.txt,878,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-26000112.txt,.txt,1952,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-27000107.txt,.txt,1406,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-27000108.txt,.txt,179,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-27000109.txt,.txt,1938,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-27000110.txt,.txt,723,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-28000105.txt,.txt,1584,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-28000106.txt,.txt,1742,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-10-31000101.txt,.txt,1655,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-04000085.txt,.txt,1944,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-04000086.txt,.txt,2003,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-04000087.txt,.txt,1859,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-05000079.txt,.txt,737,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-07000071.txt,.txt,934,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-07000072.txt,.txt,840,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-07000073.txt,.txt,1291,auxiliary-validation,reference-corpora
